"","Year","Group","Count"
"1",2025,"Mammals",238
"2",2025,"Birds",216
"3",2025,"Reptiles",432
"4",2025,"Amphibians",825
"5",2025,"Fishes",881
"6",2025,"Insects",520
"7",2025,"Molluscs",785
"8",2025,"Fungi_protists",52
"9",2024,"Mammals",241
"10",2024,"Birds",223
"11",2024,"Reptiles",430
"12",2024,"Amphibians",798
"13",2024,"Fishes",867
"14",2024,"Insects",436
"15",2024,"Molluscs",745
"16",2024,"Fungi_protists",49
"17",2023,"Mammals",235
"18",2023,"Birds",232
"19",2023,"Reptiles",434
"20",2023,"Amphibians",795
"21",2023,"Fishes",834
"22",2023,"Insects",429
"23",2023,"Molluscs",728
"24",2023,"Fungi_protists",50
"25",2022,"Mammals",233
"26",2022,"Birds",233
"27",2022,"Reptiles",433
"28",2022,"Amphibians",722
"29",2022,"Fishes",792
"30",2022,"Insects",425
"31",2022,"Molluscs",725
"32",2022,"Fungi_protists",38
"33",2021,"Mammals",229
"34",2021,"Birds",225
"35",2021,"Reptiles",433
"36",2021,"Amphibians",673
"37",2021,"Fishes",739
"38",2021,"Insects",408
"39",2021,"Molluscs",717
"40",2021,"Fungi_protists",32
"41",2020,"Mammals",221
"42",2020,"Birds",223
"43",2020,"Reptiles",324
"44",2020,"Amphibians",650
"45",2020,"Fishes",666
"46",2020,"Insects",347
"47",2020,"Molluscs",682
"48",2020,"Fungi_protists",30
"49",2019,"Mammals",203
"50",2019,"Birds",225
"51",2019,"Reptiles",309
"52",2019,"Amphibians",588
"53",2019,"Fishes",592
"54",2019,"Insects",311
"55",2019,"Molluscs",667
"56",2019,"Fungi_protists",19
"57",2018,"Mammals",201
"58",2018,"Birds",224
"59",2018,"Reptiles",287
"60",2018,"Amphibians",550
"61",2018,"Fishes",486
"62",2018,"Insects",300
"63",2018,"Molluscs",633
"64",2018,"Fungi_protists",14
"65",2017,"Mammals",202
"66",2017,"Birds",222
"67",2017,"Reptiles",266
"68",2017,"Amphibians",552
"69",2017,"Fishes",468
"70",2017,"Insects",273
"71",2017,"Molluscs",625
"72",2017,"Fungi_protists",10
"73",2016,"Mammals",204
"74",2016,"Birds",225
"75",2016,"Reptiles",237
"76",2016,"Amphibians",546
"77",2016,"Fishes",461
"78",2016,"Insects",226
"79",2016,"Molluscs",586
"80",2016,"Fungi_protists",8
"81",2015,"Mammals",209
"82",2015,"Birds",218
"83",2015,"Reptiles",180
"84",2015,"Amphibians",528
"85",2015,"Fishes",446
"86",2015,"Insects",176
"87",2015,"Molluscs",576
"88",2015,"Fungi_protists",5
"89",2014,"Mammals",213
"90",2014,"Birds",213
"91",2014,"Reptiles",174
"92",2014,"Amphibians",518
"93",2014,"Fishes",443
"94",2014,"Insects",168
"95",2014,"Molluscs",576
"96",2014,"Fungi_protists",2
"97",2013,"Mammals",196
"98",2013,"Birds",198
"99",2013,"Reptiles",164
"100",2013,"Amphibians",520
"101",2013,"Fishes",413
"102",2013,"Insects",125
"103",2013,"Molluscs",553
"104",2013,"Fungi_protists",2
"105",2012,"Mammals",196
"106",2012,"Birds",197
"107",2012,"Reptiles",144
"108",2012,"Amphibians",509
"109",2012,"Fishes",415
"110",2012,"Insects",119
"111",2012,"Molluscs",549
"112",2012,"Fungi_protists",2
"113",2011,"Mammals",194
"114",2011,"Birds",189
"115",2011,"Reptiles",137
"116",2011,"Amphibians",498
"117",2011,"Fishes",414
"118",2011,"Insects",91
"119",2011,"Molluscs",487
"120",2011,"Fungi_protists",2
"121",2010,"Mammals",188
"122",2010,"Birds",190
"123",2010,"Reptiles",106
"124",2010,"Amphibians",486
"125",2010,"Fishes",376
"126",2010,"Insects",89
"127",2010,"Molluscs",373
"128",2010,"Fungi_protists",2
"129",2009,"Mammals",188
"130",2009,"Birds",192
"131",2009,"Reptiles",93
"132",2009,"Amphibians",484
"133",2009,"Fishes",306
"134",2009,"Insects",89
"135",2009,"Molluscs",291
"136",2009,"Fungi_protists",2
"137",2008,"Mammals",188
"138",2008,"Birds",190
"139",2008,"Reptiles",86
"140",2008,"Amphibians",475
"141",2008,"Fishes",289
"142",2008,"Insects",70
"143",2008,"Molluscs",268
"144",2008,"Fungi_protists",2
"145",2007,"Mammals",163
"146",2007,"Birds",189
"147",2007,"Reptiles",79
"148",2007,"Amphibians",441
"149",2007,"Fishes",254
"150",2007,"Insects",69
"151",2007,"Molluscs",268
"152",2007,"Fungi_protists",2
"153",2006,"Mammals",162
"154",2006,"Birds",181
"155",2006,"Reptiles",73
"156",2006,"Amphibians",442
"157",2006,"Fishes",253
"158",2006,"Insects",68
"159",2006,"Molluscs",265
"160",2006,"Fungi_protists",2
"161",2004,"Mammals",162
"162",2004,"Birds",179
"163",2004,"Reptiles",64
"164",2004,"Amphibians",413
"165",2004,"Fishes",171
"166",2004,"Insects",47
"167",2004,"Molluscs",265
"168",2004,"Fungi_protists",1
"169",2003,"Mammals",184
"170",2003,"Birds",182
"171",2003,"Reptiles",57
"172",2003,"Amphibians",30
"173",2003,"Fishes",162
"174",2003,"Insects",46
"175",2003,"Molluscs",250
"176",2003,"Fungi_protists",1
"177",2002,"Mammals",181
"178",2002,"Birds",182
"179",2002,"Reptiles",55
"180",2002,"Amphibians",30
"181",2002,"Fishes",157
"182",2002,"Insects",46
"183",2002,"Molluscs",222
"184",2002,"Fungi_protists",0
"185",2000,"Mammals",180
"186",2000,"Birds",182
"187",2000,"Reptiles",56
"188",2000,"Amphibians",25
"189",2000,"Fishes",156
"190",2000,"Insects",45
"191",2000,"Molluscs",222
"192",2000,"Fungi_protists",0
